"Name","Year","Rank"
"Rory","1924",NA
"Ross","1924",NA
"Roy","1924",41
"Royston","1924",NA
"Russell","1924",NA
"Ryan","1924",NA
"Sam","1924",NA
"Samuel","1924",57
"Scott","1924",NA
"Sean","1924",NA
"Sebastian","1924",NA
"Seth","1924",NA
"Shane","1924",NA
"Shaun","1924",NA
"Sidney","1924",45
"Simon","1924",NA
"Sonny","1924",NA
"Stanley","1924",17
"Stephen","1924",76
"Steven","1924",NA
"Stewart","1924",NA
"Stuart","1924",NA
"Sydney","1924",59
"Taylor","1924",NA
"Teddy","1924",NA
"Terence","1924",68
"Terry","1924",NA
"Theo","1924",NA
"Theodore","1924",NA
"Thomas","1924",5
"Timothy","1924",NA
"Toby","1924",NA
"Tom","1924",NA
"Tommy","1924",NA
"Tony","1924",NA
"Trevor","1924",79
"Tyler","1924",NA
"Victor","1924",50
"Vincent","1924",78
"Walter","1924",34
"Wayne","1924",NA
"Wilfred","1924",55
"William","1924",2
"Zachary","1924",NA
"Zak","1924",NA
"Aaron","1934",NA
"Abdul","1934",78
"Adam","1934",NA
"Adrian","1934",NA
"Aidan","1934",NA
"Alan","1934",13
"Albert","1934",35
"Alec","1934",100
"Alex","1934",NA
"Alexander","1934",66
"Alfie","1934",NA
"Alfred","1934",49
"Allan","1934",65
"Andrew","1934",79
"Anthony","1934",16
"Antony","1934",NA
"Archibald","1934",NA
"Archie","1934",NA
"Arnold","1934",98
"Arthur","1934",25
"Ashley","1934",NA
"Austin","1934",NA
"Bailey","1934",NA
"Barrie","1934",92
"Barry","1934",53
"Basil","1934",NA
"Ben","1934",NA
"Benjamin","1934",NA
"Bernard","1934",38
"Bertie","1934",NA
"Bertram","1934",NA
"Billy","1934",NA
"Blake","1934",NA
"Bobby","1934",NA
"Bradley","1934",NA
"Brandon","1934",NA
"Brett","1934",NA
"Brian","1934",4
"Bruce","1934",NA
"Bryan","1934",58
"Caleb","1934",NA
"Callum","1934",NA
"Cameron","1934",NA
"Carl","1934",NA
"Carter","1934",NA
"Cecil","1934",94
"Charles","1934",29
"Charlie","1934",NA
"Christian","1934",NA
"Christopher","1934",57
"Clarence","1934",NA
"Claude","1934",NA
"Clifford","1934",60
"Clive","1934",70
"Colin","1934",26
"Connor","1934",NA
"Conor","1934",NA
"Corey","1934",NA
"Craig","1934",NA
"Cyril","1934",61
"Dale","1934",NA
"Damian","1934",NA
"Damien","1934",NA
"Daniel","1934",71
"Danny","1934",NA
"Darren","1934",NA
"David","1934",5
"Dean","1934",NA
"Declan","1934",NA
"Denis","1934",64
"Dennis","1934",19
"Derek","1934",14
"Derrick","1934",77
"Desmond","1934",88
"Dexter","1934",NA
"Dominic","1934",NA
"Donald","1934",18
"Douglas","1934",44
"Duncan","1934",NA
"Dylan","1934",NA
"Edgar","1934",NA
"Edmund","1934",NA
"Edward","1934",20
"Edwin","1934",74
"Elijah","1934",NA
"Elliot","1934",NA
"Elliott","1934",NA
"Ellis","1934",NA
"Eric","1934",27
"Ernest","1934",47
"Ethan","1934",NA
"Evan","1934",NA
"Ewan","1934",NA
"Felix","1934",NA
"Finlay","1934",NA
"Finley","1934",NA
"Francis","1934",42
"Frank","1934",34
"Frankie","1934",NA
"Fred","1934",97
"Freddie","1934",NA
"Frederick","1934",24
"Gabriel","1934",NA
"Gareth","1934",NA
"Garry","1934",NA
"Gary","1934",NA
"Gavin","1934",NA
"Geoffrey","1934",33
"George","1934",10
"Gerald","1934",40
"Gerard","1934",NA
"Gilbert","1934",NA
"Glen","1934",NA
"Glenn","1934",NA
"Gordon","1934",21
"Graeme","1934",NA
"Graham","1934",50
"Gregory","1934",NA
"Guy","1934",NA
"Harley","1934",NA
"Harold","1934",48
"Harrison","1934",NA
"Harry","1934",51
"Harvey","1934",NA
"Hector","1934",NA
"Henry","1934",45
"Herbert","1934",73
"Horace","1934",NA
"Howard","1934",NA
"Hubert","1934",NA
"Hugh","1934",81
"Hugo","1934",NA
"Iain","1934",NA
"Ian","1934",55
"Ibrahim","1934",NA
"Isaac","1934",NA
"Ivan","1934",91
"Ivor","1934",87
"Jack","1934",52
"Jackson","1934",NA
"Jacob","1934",NA
"Jake","1934",NA
"James","1934",6
"Jamie","1934",NA
"Jason","1934",NA
"Jaxon","1934",NA
"Jay","1934",NA
"Jayden","1934",NA
"Jeffrey","1934",86
"Jenson","1934",NA
"Jeremy","1934",NA
"Jesse","1934",NA
"Joe","1934",NA
"Joel","1934",NA
"John","1934",1
"Jonathan","1934",NA
"Jordan","1934",NA
"Joseph","1934",23
"Josh","1934",NA
"Joshua","1934",NA
"Jude","1934",NA
"Julian","1934",NA
"Justin","1934",NA
"Kai","1934",NA
"Karl","1934",NA
"Keith","1934",36
"Kenneth","1934",9
