"","Name","Year","Rank"
"786","Mason","1924",NA
"787","Mathew","1924",NA
"788","Matthew","1924",NA
"789","Maurice","1924",47
"790","Max","1924",NA
"791","Melvyn","1924",NA
"792","Michael","1924",40
"793","Mitchell","1924",NA
"794","Mohamed","1924",NA
"795","Mohammad","1924",NA
"796","Mohammed","1924",91
"797","Morgan","1924",NA
"798","Morris","1924",NA
"799","Muhammad","1924",NA
"800","Nathan","1924",NA
"801","Neil","1924",NA
"802","Neville","1924",NA
"803","Nicholas","1924",NA
"804","Nigel","1924",NA
"805","Noah","1924",NA
"806","Noel","1924",NA
"807","Norman","1924",22
"808","Oliver","1924",NA
"809","Ollie","1924",NA
"810","Oscar","1924",NA
"811","Owen","1924",99
"812","Patrick","1924",44
"813","Paul","1924",88
"814","Percival","1924",NA
"815","Percy","1924",67
"816","Peter","1924",11
"817","Philip","1924",53
"818","Phillip","1924",NA
"819","Ralph","1924",64
"820","Raymond","1924",28
"821","Reece","1924",NA
"822","Reggie","1924",NA
"823","Reginald","1924",31
"824","Reuben","1924",NA
"825","Rhys","1924",NA
"826","Richard","1924",32
"827","Ricky","1924",NA
"828","Riley","1924",NA
"829","Robert","1924",8
"830","Robin","1924",NA
"831","Rodney","1924",NA
"832","Roger","1924",NA
"833","Roland","1924",82
"834","Roman","1924",NA
"835","Ronald","1924",6
"836","Ronnie","1924",NA
"837","Rory","1924",NA
"838","Ross","1924",NA
"839","Roy","1924",41
"840","Royston","1924",NA
"841","Russell","1924",NA
"842","Ryan","1924",NA
"843","Sam","1924",NA
"844","Samuel","1924",57
"845","Scott","1924",NA
"846","Sean","1924",NA
"847","Sebastian","1924",NA
"848","Shane","1924",NA
"849","Shaun","1924",NA
"850","Sidney","1924",45
"851","Simon","1924",NA
"852","Stanley","1924",17
"853","Stephen","1924",76
"854","Steven","1924",NA
"855","Stewart","1924",NA
"856","Stuart","1924",NA
"857","Sydney","1924",59
"858","Taylor","1924",NA
"859","Teddy","1924",NA
"860","Terence","1924",68
"861","Terry","1924",NA
"862","Theo","1924",NA
"863","Theodore","1924",NA
"864","Thomas","1924",5
"865","Timothy","1924",NA
"866","Toby","1924",NA
"867","Tom","1924",NA
"868","Tommy","1924",NA
"869","Tony","1924",NA
"870","Trevor","1924",79
"871","Tyler","1924",NA
"872","Victor","1924",50
"873","Vincent","1924",78
"874","Walter","1924",34
"875","Wayne","1924",NA
"876","Wilfred","1924",55
"877","William","1924",2
"878","Zachary","1924",NA
"879","Zak","1924",NA
"880","Aaron","1934",NA
"881","Abdul","1934",78
"882","Adam","1934",NA
"883","Adrian","1934",NA
"884","Aidan","1934",NA
"885","Alan","1934",13
"886","Albert","1934",35
"887","Albie","1934",NA
"888","Alec","1934",100
"889","Alex","1934",NA
"890","Alexander","1934",66
"891","Alfie","1934",NA
"892","Alfred","1934",49
"893","Allan","1934",65
"894","Andrew","1934",79
"895","Anthony","1934",16
"896","Antony","1934",NA
"897","Archibald","1934",NA
"898","Archie","1934",NA
"899","Arlo","1934",NA
"900","Arnold","1934",98
"901","Arthur","1934",25
"902","Ashley","1934",NA
"903","Austin","1934",NA
"904","Bailey","1934",NA
"905","Barrie","1934",92
"906","Barry","1934",53
"907","Basil","1934",NA
"908","Ben","1934",NA
"909","Benjamin","1934",NA
"910","Bernard","1934",38
"911","Bertie","1934",NA
"912","Bertram","1934",NA
"913","Billy","1934",NA
"914","Blake","1934",NA
"915","Bobby","1934",NA
"916","Bradley","1934",NA
"917","Brandon","1934",NA
"918","Brett","1934",NA
"919","Brian","1934",4
"920","Bruce","1934",NA
"921","Bryan","1934",58
"922","Caleb","1934",NA
"923","Callum","1934",NA
"924","Cameron","1934",NA
"925","Carl","1934",NA
"926","Carter","1934",NA
"927","Cecil","1934",94
"928","Charles","1934",29
"929","Charlie","1934",NA
"930","Christian","1934",NA
"931","Christopher","1934",57
"932","Clarence","1934",NA
"933","Claude","1934",NA
"934","Clifford","1934",60
"935","Clive","1934",70
"936","Colin","1934",26
"937","Connor","1934",NA
"938","Conor","1934",NA
"939","Corey","1934",NA
"940","Craig","1934",NA
"941","Cyril","1934",61
"942","Dale","1934",NA
"943","Damian","1934",NA
"944","Damien","1934",NA
"945","Daniel","1934",71
"946","Danny","1934",NA
"947","Darren","1934",NA
"948","David","1934",5
"949","Dean","1934",NA
"950","Declan","1934",NA
"951","Denis","1934",64
"952","Dennis","1934",19
"953","Derek","1934",14
"954","Derrick","1934",77
"955","Desmond","1934",88
"956","Dexter","1934",NA
"957","Dominic","1934",NA
"958","Donald","1934",18
"959","Douglas","1934",44
"960","Duncan","1934",NA
"961","Dylan","1934",NA
"962","Edgar","1934",NA
"963","Edmund","1934",NA
"964","Edward","1934",20
"965","Edwin","1934",74
"966","Elijah","1934",NA
"967","Elliot","1934",NA
"968","Elliott","1934",NA
"969","Ellis","1934",NA
"970","Eric","1934",27
"971","Ernest","1934",47
"972","Ethan","1934",NA
"973","Evan","1934",NA
"974","Ewan","1934",NA
"975","Ezra","1934",NA
"976","Felix","1934",NA
"977","Finlay","1934",NA
"978","Finley","1934",NA
"979","Finn","1934",NA
"980","Francis","1934",42
"981","Frank","1934",34
"982","Frankie","1934",NA
"983","Fred","1934",97
"984","Freddie","1934",NA
"985","Frederick","1934",24
"986","Gabriel","1934",NA
"987","Gareth","1934",NA
"988","Garry","1934",NA
"989","Gary","1934",NA
"990","Gavin","1934",NA
"991","Geoffrey","1934",33
"992","George","1934",10
"993","Gerald","1934",40
"994","Gerard","1934",NA
"995","Gilbert","1934",NA
"996","Glen","1934",NA
"997","Glenn","1934",NA
"998","Gordon","1934",21
"999","Graeme","1934",NA
