"","Name","Year","Rank"
"445","Diane","1914",NA
"446","Donna","1914",NA
"447","Dora","1914",59
"448","Doreen","1914",78
"449","Doris","1914",3
"450","Dorothy","1914",4
"451","Edith","1914",8
"452","Edna","1914",22
"453","Eileen","1914",27
"454","Elaine","1914",NA
"455","Eleanor","1914",67
"456","Eliza","1914",NA
"457","Elizabeth","1914",9
"458","Ella","1914",NA
"459","Ellen","1914",24
"460","Ellie","1914",NA
"461","Eloise","1914",NA
"462","Elsie","1914",7
"463","Emilia","1914",NA
"464","Emily","1914",38
"465","Emma","1914",79
"466","Enid","1914",94
"467","Erin","1914",NA
"468","Esme","1914",NA
"469","Esther","1914",83
"470","Ethel","1914",19
"471","Eva","1914",48
"472","Eve","1914",NA
"473","Evelyn","1914",28
"474","Evie","1914",NA
"475","Faith","1914",NA
"476","Fanny","1914",NA
"477","Felicity","1914",NA
"478","Fiona","1914",NA
"479","Florence","1914",6
"480","Frances","1914",37
"481","Francesca","1914",NA
"482","Freda","1914",52
"483","Freya","1914",NA
"484","Gabrielle","1914",NA
"485","Gail","1914",NA
"486","Gemma","1914",NA
"487","Georgia","1914",NA
"488","Georgina","1914",NA
"489","Geraldine","1914",NA
"490","Gertrude","1914",46
"491","Gillian","1914",NA
"492","Gladys","1914",11
"493","Glenys","1914",NA
"494","Gloria","1914",NA
"495","Glynis","1914",NA
"496","Grace","1914",42
"497","Gracie","1914",NA
"498","Gwendoline","1914",45
"499","Hannah","1914",70
"500","Harper","1914",NA
"501","Harriet","1914",NA
"502","Hayley","1914",NA
"503","Hazel","1914",NA
"504","Heather","1914",NA
"505","Heidi","1914",NA
"506","Helen","1914",60
"507","Hilary","1914",NA
"508","Hilda","1914",15
"509","Hollie","1914",NA
"510","Holly","1914",NA
"511","Ida","1914",69
"512","Imogen","1914",NA
"513","Irene","1914",21
"514","Iris","1914",58
"515","Isabel","1914",NA
"516","Isabella","1914",81
"517","Isabelle","1914",NA
"518","Isla","1914",NA
"519","Isobel","1914",NA
"520","Ivy","1914",17
"521","Jacqueline","1914",NA
"522","Jade","1914",NA
"523","Jane","1914",51
"524","Janet","1914",91
"525","Janice","1914",NA
"526","Jasmine","1914",NA
"527","Jayne","1914",NA
"528","Jean","1914",75
"529","Jeanette","1914",NA
"530","Jemma","1914",NA
"531","Jenna","1914",NA
"532","Jennifer","1914",NA
"533","Jenny","1914",NA
"534","Jessica","1914",NA
"535","Jessie","1914",40
"536","Jill","1914",NA
"537","Joan","1914",29
"538","Joanna","1914",NA
"539","Joanne","1914",NA
"540","Jodie","1914",NA
"541","Jordan","1914",NA
"542","Josephine","1914",95
"543","Joy","1914",NA
"544","Joyce","1914",49
"545","Judith","1914",NA
"546","Julia","1914",NA
"547","Julie","1914",NA
"548","June","1914",NA
"549","Karen","1914",NA
"550","Kate","1914",97
"551","Katherine","1914",NA
"552","Kathleen","1914",5
"553","Kathryn","1914",NA
"554","Katie","1914",NA
"555","Katy","1914",NA
"556","Kay","1914",NA
"557","Kayleigh","1914",NA
"558","Keira","1914",NA
"559","Kelly","1914",NA
"560","Kerry","1914",NA
"561","Kiera","1914",NA
"562","Kim","1914",NA
